career आजीविका
careful सावधान
carefully सावधानी से
carrier वाहक
carry ढोना
case मामला
cash नकद
cast ढालना
cat बिल्ली
catch पकड़
category श्रेणी
Catholic कैथोलिक
caught पकड़े गए
cause वजह
ceiling छत
celebrate जश्न
celebration उत्सव
celebrity सेलिब्रिटी
cell कक्ष
cent प्रतिशत
center केंद्र
central केंद्रीय
century सदी
CEO सीईओ
ceremony समारोह
certain कुछ
certainly निश्चित रूप से
chain जंजीर
chair कुर्सी
chairman अध्यक्ष
challenge चुनौती
chamber कक्ष
champion चैंपियन
championship चैंपियनशिप
chance मोका
change परिवर्तन
changing बदलना
channel चैनल
chapter अध्याय
character चरित्र
characteristic विशेषता
characterize विशेषताएँ
charge चार्ज
charity दान पुण्य
chart चार्ट
chase पीछा करना
cheap सस्ता
check जाँच
cheek गाल
cheese पनीर
chef बावर्ची
chemical रासायनिक
chest छाती
chick चूजा
chicken मुर्गा
chief अध्यक्ष
child बच्चा
childhood बचपन
children बच्चे
Chinese चीनी
chip टुकड़ा
chocolate चॉकलेट
choice पसंद
cholesterol कोलेस्ट्रॉल
choose चुनें
chord तार
Christian ईसाई
Christmas क्रिसमस
church चर्च
cigarette सिगरेट
circle वृत्त
circumstance परिस्थिति
cite अदालत में तलब करना
citizen नागरिक
city शहर
civil नागरिक
civilian असैनिक
claim दावा
class कक्षा
classic क्लासिक
classroom कक्षा
clean साफ
clear स्पष्ट
clearly स्पष्ट रूप से
client ग्राहक
climate जलवायु
climb चढ़ना
clinic क्लिनिक
clinical क्लीनिकल
clock घड़ी
close बंद करे
closely निकट से
closer करीब
clothe कपड़े
clothes वस्त्र
clothing कपड़े
cloud बादल
club क्लब
clue संकेत
cluster समूह
