contemporary समकालीन
content विषय
contest प्रतियोगिता
context संदर्भ
continent महाद्वीप
continue जारी रखें
continued निरंतर
contract अनुबंध
contrast अंतर
contribute सहयोग
contribution योगदान
control नियंत्रण
controversial विवादास्पद
controversy विवाद
convention सम्मेलन
conventional पारंपरिक
conversation बातचीत
convert धर्मांतरित
conviction दोषसिद्धि
convince मनवाना
cook रसोइया
cookie कुकी
cooking खाना बनाना
cool ठंडा
cooperation सहयोग
cop पुलिस
cope सामना
copy प्रतिलिपि
core सार
corn मक्का
corner कोने
corporate निगमित
corporation निगम
correct सही
correspondent संवाददाता
cost लागत
cotton कपास
couch सोफ़ा
could सकता है
council परिषद
counselor काउंसलर
count गिनती
counter काउंटर
country देश
county काउंटी
couple जोड़ा
courage साहस
course अवधि
court कोर्ट
cousin चचेरा भाई
cover आवरण
coverage कवरेज
cow गाय
crack दरार
craft क्राफ्ट
crash दुर्घटना
crazy पागल
cream मलाई
crease शिकन
create सर्जन करना
creation निर्माण
creative रचनात्मक
creature जंतु
credit श्रेय
crew कर्मी दल
crime अपराध
criminal आपराधिक
crisis संकट
criteria मानदंड
critic समीक्षक
critical नाजुक
criticism आलोचना
criticize आलोचना
crop काटना
cross पार करना
crowd भीड़
crucial महत्वपूर्ण
cry रोना
cultural सांस्कृतिक
culture संस्कृति
cup कप
curious जिज्ञासु
current वर्तमान
currently वर्तमान में
curriculum पाठ्यक्रम
custom रीति
customer ग्राहक
cut कट गया
cycle चक्र
dad पापा
daily दैनिक
damage क्षति
dance नृत्य
danger खतरा
dangerous खतरनाक
dare हिम्मत
dark अंधेरा
darkness अंधेरा
data आंकड़े
date दिनांक
