here यहां
heritage विरासत
hero नायक
herself स्वयं
hey अरे
hi नमस्ते
hide छिपाना
high उच्च
highlight मुख्य आकर्षण
highly अत्यधिक
highway हाइवे
hill पहाड़ी
him उसे
himself वह स्वयं
hip कूल्हा
hire किराये
his उनके
historian इतिहासकार
historic ऐतिहासिक
historical ऐतिहासिक
history इतिहास
hit मारो
hold पकड़
hole छेद
holiday छुट्टी का दिन
holy पवित्र
home घर
homeless बेघर
honest ईमानदार
honey शहद
honor सम्मान
hope आशा
horizon क्षितिज
horror डरावनी
horse घोड़ा
hospital अस्पताल
host मेज़बान
hot गरम
hotel होटल
hour घंटा
house मकान
household गृहस्थी
housing आवास
how कैसे
however तथापि
huge विशाल
human मानव
humor हास्य
hundred सौ
hungry भूखा
hunt शिकार
hunter शिकारी
hunting शिकार करना
hurry जल्दी कीजिये
hurt आहत
husband पति
hypothesis परिकल्पना
I मैं
ice बर्फ
idea विचार
ideal आदर्श
identification पहचान
identify पहचान लो
identity पहचान
ie अर्थात
if अगर
ignore अनदेखा करना
ill बीमार
illegal अवैध
illness बीमारी
illustrate उदाहरण देकर स्पष्ट करना
image छवि
imagination कल्पना
imagine कल्पना करना
immediate तुरंत
immediately तुरंत
immigrant आप्रवासी
immigration अप्रवासन
impact प्रभाव
implement लागू
implication निहितार्थ
imply मतलब
importance महत्त्व
important जरूरी
impose थोपना
impossible असंभव
impress छाप
impression प्रभाव
impressive प्रभावशाली
improve सुधारें
improvement सुधार की
in में
incentive प्रोत्साहन
inch इंच
incident घटना
include शामिल
including समेत
income आय
incorporate शामिल
increase बढ़ोतरी
