German जर्मन
gesture हाव – भाव
get पाना
ghost भूत
giant विशाल
gift उपहार
gifted प्रतिभाशाली
girl लड़की
girlfriend प्रेमिका
give देना
given दिया गया
glad प्रसन्न
glance झलक
glass कांच
global वैश्विक
glove दस्ताना
go जाओ
goal लक्ष्य
God भगवान
gold सोना
golden स्वर्ण
golf गोल्फ़
gone गया
good अच्छा
got प्राप्त
govern को नियंत्रित करने वाले
government सरकार
governor राज्यपाल
grab लपकना
grade ग्रेड
gradually धीरे – धीरे
graduate स्नातक
grain अनाज
grand बड़ा
grandfather दादा
grandmother दादी मा
grant अनुदान
grass घास
grave गंभीर
gray धूसर
great महान
greatest महानतम
green हरा
grew बढ़ी
grocery किराना
ground ज़मीन
group समूह
grow बढ़ना
growing बढ़ रही है
growth विकास
guarantee गारंटी
guard रक्षक
guess अनुमान
guest अतिथि
guide मार्गदर्शक
guideline दिशानिर्देश
guilty दोषी
gun बंदूक
guy लोग
habit आदत
habitat प्राकृतिक वास
had था
hair बाल
half आधा
hall हॉल
hand हाथ
handful मुट्ठी
handle हैंडल
hang टांगना
happen होना
happy प्रसन्न
hard कठिन
hardly मुश्किल से
has है
hat टोपी
hate घृणा
have पास होना
he वह
head सिर
headline शीर्षक
headquarters मुख्यालय
health स्वास्थ्य
healthy स्वस्थ
hear सुनो
heard सुना
hearing सुनवाई
heart दिल
heat तपिश
heaven स्वर्ग
heavily भारी
heavy अधिक वज़नदार
heel एड़ी
height ऊंचाई
held आयोजित
helicopter हेलीकॉप्टर
hell नरक
hello नमस्ते
help मदद
helpful उपयोगी
her उसके
