men पुरुषों
mental मानसिक
mention उल्लेख
menu मेन्यू
mere मात्र
merely केवल
mess गड़बड़
message संदेश
metal धातु
meter मीटर
method तरीका
Mexican मैक्सिकन
middle मध्य
might पराक्रम
mile मील
military सैन्य
milk दूध
million दस लाख
mind मन
mine मेरा
minister मंत्री
minor अवयस्क
minority अल्पसंख्यक
minute मिनट
miracle चमत्कार
mirror आईना
miss कुमारी
missile मिसाइल
mission मिशन
mistake गलती
mix मिक्स
mixture मिश्रण
hmm मिमी-हम्म
mode तरीका
model आदर्श
moderate उदारवादी
modern आधुनिक
modest मामूली
molecule अणु
mom मां
moment पल
money पैसे
monitor मॉनिटर
month महीना
mood मनोदशा
moon चांद
moral शिक्षा
more अधिक
moreover इसके अलावा
morning सुबह
mortgage बंधक
most अधिकांश
mostly ज्यादा टार
mother मां
motion गति
motivation प्रेरणा
motor मोटर
mount पर्वत
mountain पहाड़
mouse चूहा
mouth मुंह
move कदम
movement गति
movie चलचित्र
Mr श्री
Mrs श्रीमती
Ms एमएस
much बहुत
multiple विभिन्न
multiply गुणा
murder हत्या
muscle मांसपेशी
museum संग्रहालय
music संगीत
musical संगीत
musician संगीतकार
Muslim मुसलमान
must अवश्य
mutual आपस का
my मेरे
myself खुद
mystery रहस्य
myth कल्पित कथा
naked नंगा
name नाम
narrative कथा
narrow संकीर्ण
nation राष्ट्र
national राष्ट्रीय
native मूल निवासी
natural प्राकृतिक
naturally सहज रूप में
nature प्रकृति
near पास
nearby पास ही
nearly लगभग
necessarily आवश्यक रूप से
necessary ज़रूरी
neck गर्दन
need जरुरत
